방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
일본,서울특별시,쇼핑업,면세점,42.8,14.6
일본,서울특별시,쇼핑업,레저용품쇼핑,42.8,4.9
일본,서울특별시,쇼핑업,기타관광쇼핑,42.8,45.7
일본,서울특별시,쇼핑업,대형쇼핑몰,42.8,34.7
일본,서울특별시,숙박업,호텔,14.4,81.3
일본,서울특별시,숙박업,캠핑장/펜션,14.4,0.2
일본,서울특별시,숙박업,기타숙박,14.4,18.4
일본,서울특별시,숙박업,콘도,14.4,0.1
일본,서울특별시,식음료업,일반외식업,12.4,77.0
일본,서울특별시,식음료업,제과음료업,12.4,23.0
일본,서울특별시,여가서비스업,골프장,0.5,2.1
일본,서울특별시,여가서비스업,기타레저,0.5,40.8
일본,서울특별시,여가서비스업,문화서비스,0.5,56.8
일본,서울특별시,여가서비스업,관광유원시설,0.5,0.2
일본,서울특별시,여행업,여행업,0.1,100.0
일본,서울특별시,운송업,육상운송,3.6,93.1
일본,서울특별시,운송업,항공운송,3.6,6.6
일본,서울특별시,운송업,렌터카,3.6,0.2
일본,서울특별시,운송업,수상운송,3.6,0.1
일본,서울특별시,의료웰니스업,의료관광,26.2,63.4
일본,서울특별시,의료웰니스업,뷰티,26.2,36.6
